,,,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
,,,Cons,Prod,pipe,LNG,trade,captot-P+,captot-P-,captot-L,captot-R,captot-WG,Cons,Prod,pipe,LNG,trade,expcum-P+,expcum-P-,expcum-R,captot-P+,captot-P-,captot-L,captot-R,captot-WG,Cons,Prod,pipe,LNG,trade,expcum-P+,expcum-P-,expcum-L,expcum-R,expcum-WG,captot-P+,captot-P-,captot-L,captot-R,captot-WG,Cons,Prod,pipe,LNG,trade,expcum-P+,expcum-P-,expcum-L,expcum-R,expcum-WG,captot-P+,captot-P-,captot-L,captot-R,captot-WG,Cons,Prod,pipe,LNG,trade,expcum-P+,expcum-P-,expcum-L,expcum-R,expcum-WG,captot-P+,captot-P-,captot-L,captot-R,captot-WG,Cons,Prod,pipe,LNG,trade,expcum-P+,expcum-P-,expcum-L,expcum-R,expcum-WG,captot-P+,captot-P-,captot-L,captot-R,captot-WG,Cons,Prod,pipe,LNG,trade,expcum-P+,expcum-P-,expcum-L,expcum-R,expcum-WG,captot-P+,captot-P-,captot-L,captot-R,captot-WG,Cons,Prod,pipe,LNG,trade,expcum-P+,expcum-P-,expcum-L,expcum-R,expcum-WG,captot-P+,captot-P-,captot-L,captot-R,captot-WG
SDS-Vision,SAM,CHL,3.91760567,0.971846793,2.147130264,0.798628613,2.945758877,5,,,5.7,,4.367216981,0.947768482,0.882446599,2.537001899,3.419448497,,,,5,,,12.5,,4.434584387,0.956187716,0.554271128,2.92412553,3.478396657,,,,,,5,,,12.5,,4.493497662,1.017795461,1.053544335,2.422157848,3.475702183,,,,,,5,,,12.5,,4.415820687,1.018094301,1.319013575,2.078712786,3.397726361,,,,,,5,,,12.5,,4.489143557,1.019581937,1.123012256,2.346549304,3.46956156,3.67117E-09,,,,,5.000000004,,,12.5,,4.430438031,1.022531905,1.190891783,2.217014268,3.407906051,8.35685E-09,,,,,5.000000008,,,12.5,,4.370427558,1.025632213,1.313704215,2.031091005,3.34479522,1.43365E-08,,,,,5.000000014,,,12.5,
SDS-Vision,SAM,COL,11.47135819,12.30951675,-0.838158556,,-0.838158556,,2.10717737,,,,11.59264226,12.50480822,-0.912166143,1.93344E-07,-0.91216595,,,,5.2,2.10717737,,4,,11.72568912,12.71994289,-0.994254257,4.72897E-07,-0.994253785,,,,,,5.2,2.10717737,,4,,12.31950406,13.2663252,-0.946821671,5.11987E-07,-0.946821159,,,,,,5.2,2.10717737,,4,,12.21597254,13.15485277,-0.938880875,6.05047E-07,-0.93888027,,,,,,5.2,2.10717737,,4,,12.39916799,13.46342057,-1.064253421,7.77431E-07,-1.064252643,,,,,,5.2,2.10717737,,4,,12.38692729,13.73883576,-1.351909482,9.33642E-07,-1.351908548,3.69496E-09,4.08596E-09,,,,5.200000004,2.107177374,,4,,12.21573938,13.84466719,-1.628929036,1.08835E-06,-1.628927948,8.41051E-09,9.35223E-09,,,,5.200000008,2.107177379,,4,
SDS-Vision,SAM,ECU,0.809241262,0.809241262,,,,,,,,,0.808777206,0.808777206,,,,,,,,,,,,0.816212748,0.816212748,,,,,,,,,,,,,,0.866510301,0.866510301,,,,,,,,,,,,,,0.86385854,0.86385854,,,,,,,,,,,,,,0.8676859,0.8676859,,,,,,,,,,,,,,0.869262999,0.869262999,,,,,,,,,,,,,,0.870914249,0.870914249,,,,,,,,,,,,,
SDS-Vision,SAM,PER,7.741792629,13.69963506,,-5.95784243,-5.95784243,,,6.050884956,,,9.240136134,12.54933292,,-3.309196789,-3.309196789,,,,,,6.050884956,,,9.400002258,12.67667517,,-3.276672907,-3.276672907,,,,,,,,6.050884956,,,9.383219838,13.96671752,,-4.583497679,-4.583497679,,,,,,,,6.050884956,,,9.053846078,14.15238531,,-5.098539233,-5.098539233,,,,,,,,6.050884956,,,9.286726168,14.17965447,,-4.892928302,-4.892928302,,,,,,,,6.050884956,,,9.072706656,14.26309946,,-5.190392805,-5.190392805,,,,,,,,6.050884956,,,8.635266537,14.45051575,,-5.815249211,-5.815249211,,,,,,,,6.050884956,,
SDS-Vision,SAM,TTO,19.94730107,39.95499165,,-20.00769059,-20.00769059,,,23.25599381,,,22.92007829,35.53911643,,-12.61903814,-12.61903814,,,,,,23.25599381,,,23.45814495,35.81641637,1.13167E-07,-12.35827153,-12.35827142,4.39941E-08,,,,,1.550000044,,23.25599381,,,23.53940882,39.72775469,1.84704E-07,-16.18834606,-16.18834587,1.02603E-07,,,,,1.550000103,,23.25599381,,,22.69354499,40.67076381,3.09762E-07,-17.97721912,-17.97721881,1.80532E-07,,,,,1.550000181,,23.25599381,,,22.93962071,40.86155949,3.75331E-07,-17.92193915,-17.92193878,2.85448E-07,,,,,1.550000285,,23.25599381,,,22.58268806,41.42722003,0.322252653,-19.16678462,-18.84453197,4.28641E-07,,,,,1.550000429,,23.25599381,,,21.64085426,42.18808368,1.034640785,-21.58187021,-20.54722942,6.24117E-07,,,,,1.550000624,,23.25599381,,
SDS-Vision,SAM,VEN,25.77892662,24.95669308,0.822233544,,0.822233544,2.067141,,,,,26.02407434,25.12923935,0.894834985,,0.894834985,,,,2.067141,5.300713558,,,,26.33226316,25.35689987,0.975363312,,0.975363312,,4.401E-08,,,,2.067141,6.851271803,,,,27.71261582,26.78378396,0.928831873,,0.928831873,,1.0264E-07,,,,2.067141,6.851271861,,,,27.52193672,26.6008949,0.921041826,,0.921041826,,1.80597E-07,,,,2.067141,6.851271939,,,,27.987879,26.94384678,1.044032227,,1.044032227,,2.85551E-07,,,,2.067141,6.851272044,,,,27.98533249,26.981478,1.003854493,,1.003854493,4.00832E-09,4.32562E-07,,,,2.067141004,6.851272191,,,,27.60915772,27.04619173,0.56296599,,0.56296599,9.17453E-09,6.32915E-07,,,,2.067141009,6.851272391,,,
SDS-Vision,EU,AUT,9.72180258,1.384303525,8.463499068,,8.463499068,110.16661,71.58118756,,,8.274,8.064218922,1.249279286,6.862095863,,6.862095863,8.33983E-07,1.03993E-06,,121.7439491,72.85309745,,,8.274,7.13020506,0.716997465,6.455270507,,6.455270507,3.56491E-06,1.46056E-06,,,5.36735E-10,121.7439519,72.85309787,,,8.274000001,6.431812821,0.476586189,6.021652006,,6.021652006,4.63867E-06,1.86933E-06,,,1.22359E-09,121.7439529,72.85309828,,,8.274000001,6.009938653,0.164520066,5.910227806,,5.910227806,5.70396E-06,2.33077E-06,,,2.10312E-09,121.743954,72.85309874,,,8.274000002,5.656513483,0.05247885,5.665805153,,5.665805153,6.97909E-06,2.96057E-06,,,3.22898E-09,121.7439553,72.85309937,,,8.274000003,5.246792094,,5.318189677,,5.318189677,8.07149E-06,3.45783E-06,,,4.6686E-09,121.7439564,72.85309987,,,8.274000005,4.759587413,,4.832693976,,4.832693976,8.61039E-06,3.76769E-06,,,6.50669E-09,121.7439569,72.85310018,,,8.274000007
SDS-Vision,EU,BEL,17.63023332,,14.69239339,2.948734054,17.64112745,101.6818095,83.67216863,,9,0.934,15.96449582,,12.69808454,3.277000854,15.97508539,4.16449E-09,4.20641E-09,,101.6818095,83.67216864,,9,0.914,13.9928064,,14.00339479,1.15551E-06,14.00339595,9.48416E-09,9.593E-09,,,1.87852E-09,101.6818095,83.67216864,,9,0.914000002,12.25600121,,12.26658985,9.02783E-07,12.26659075,1.62802E-08,2.07938E-08,,,6.42851E-09,101.6818095,83.67216865,,9,0.914000006,11.900275,,11.91086369,8.40455E-07,11.91086453,3.36512E-08,3.94789E-08,,,1.24131E-08,101.6818095,83.67216867,,9,0.914000012,11.62071975,,11.63130834,9.11777E-07,11.63130925,6.0127E-08,6.7697E-08,,,2.20123E-08,101.6818096,83.6721687,,9,0.914000022,12.60194891,,12.6125375,8.71036E-07,12.61253837,9.39176E-08,1.03748E-07,,,3.21076E-08,101.6818096,83.67216874,,9,0.914000032,13.27881797,,13.28940649,8.98355E-07,13.28940739,1.37045E-07,1.49767E-07,,,4.48276E-08,101.6818096,83.67216878,,9,0.914000045
SDS-Vision,EU,BGR,3.449691206,,3.458066866,,3.458066866,25.42411388,21.36855359,,,0.55,2.985367497,,2.993606077,,2.993606077,,3.97357E-09,,29.63423645,21.86069172,,,0.541,2.524764413,,2.548261879,,2.548261879,2.17643E-06,9.39516E-09,,,6.99241E-10,35.39739652,24.13161348,,,1.543000001,2.131171232,,2.154668696,,2.154668696,2.92427E-06,2.58945E-08,,,1.6352E-09,35.39739727,24.1316135,,,1.543000002,2.002235714,,2.025733177,,2.025733177,3.7238E-06,4.76631E-08,,,2.86411E-09,35.39739807,24.13161352,,,1.543000003,1.919216432,,1.942713896,,1.942713896,4.91989E-06,7.74337E-08,,,4.50153E-09,35.39739926,24.13161355,,,1.543000005,1.939524135,,1.963021597,,1.963021597,6.4022E-06,1.23545E-07,,,6.5602E-09,35.39740074,24.1316136,,,1.543000007,1.957049018,,1.980546479,,1.980546479,7.56277E-06,1.84411E-07,,,9.11105E-09,35.3974019,24.13161366,,,1.543000009
SDS-Vision,EU,CYP,0.052074348,0.052074348,,,,,,,,,0.110281785,0.110281785,,,,,,,,,,,,0.216958159,1.941327316,,-1.724369156,-1.724369156,,,1.724369162,,,,,1.724369162,,,0.27436941,3.082751418,,-2.808382008,-2.808382008,,,2.808382016,,,,,2.808382016,,,0.270240004,4.55062775,,-4.280387747,-4.280387747,,,4.280387758,,,,,4.280387758,,,0.263235541,5.449412537,,-5.186176995,-5.186176995,,,5.18617701,,,,,5.18617701,,,0.267234834,5.637064192,,-5.369829357,-5.369829357,,,5.369829369,,,,,5.369829369,,,0.22776395,5.597593316,,-5.369829366,-5.369829366,,,5.36982938,,,,,5.36982938,,
