,,,,,2015,2020,2025,2030,2035,2040,2045,2050
NPS-Ref,RUS,RUS,SAM,COL,,2.07075E-08,0.030404222,0.112532007,0.366158445,0.437337787,0.465310371,0.460257128
NPS-Ref,RUS,RUS,SAM,TTO,,,4.25198E-09,2.63791E-09,3.09879E-09,5.63875E-09,7.11339E-09,9.08243E-09
NPS-Ref,RUS,RUS,SAM,VEN,,2.02941E-08,0.070983374,0.262723974,0.664917535,0.729318779,0.801258235,0.806930128
NPS-Ref,RUS,RUS,EU,AUT,2.625405405,2.745943914,2.805912083,3.436678045,3.941762724,4.747260765,4.872552956,5.075115364
NPS-Ref,RUS,RUS,EU,BEL,4.157749208,4.237926861,6.646547272,7.750794812,8.30765138,9.017814158,9.497314182,10.01705114
NPS-Ref,RUS,RUS,EU,BGR,0.990105935,0.432163106,0.4905684,0.401861108,0.498624321,0.621939031,0.685565042,0.700625696
NPS-Ref,RUS,RUS,EU,CZE,2.154943744,2.646418172,3.003501568,3.685819283,4.037111887,4.510749281,4.801515302,5.126893831
NPS-Ref,RUS,RUS,EU,DEU,23.53445002,23.06822438,28.09168977,33.8480218,35.72390566,38.94079584,38.93645937,41.22220854
NPS-Ref,RUS,RUS,EU,DNK,0.63694562,0.743799499,0.817985257,1.300069003,1.299622208,1.336183994,1.606359106,1.957793069
NPS-Ref,RUS,RUS,EU,ESP,4.105637399,4.579353683,3.840954882,4.238132258,4.272732455,4.398303141,4.796875537,5.018032297
NPS-Ref,RUS,RUS,EU,EST,0.248146036,0.732090417,0.948476489,0.850948433,0.924715153,1.005026852,0.996229235,0.956520575
NPS-Ref,RUS,RUS,EU,FIN,2.921424642,2.706207357,3.313583862,3.18797634,3.232355158,3.278299912,3.20974217,3.086196431
NPS-Ref,RUS,RUS,EU,FRA,10.5628862,8.658910951,9.257091996,13.87946901,14.01972737,14.2794588,14.57604009,16.29280067
NPS-Ref,RUS,RUS,EU,GBR,12.7903411,15.4582495,16.10179154,18.00338578,19.61168416,22.18076099,24.24808822,26.53134981
NPS-Ref,RUS,RUS,EU,GRC,0.971944581,1.037692106,0.868494089,0.696519321,0.736495023,0.789964665,0.871167918,0.886332093
NPS-Ref,RUS,RUS,EU,HRV,0.508605509,0.774821221,1.01174363,1.183733418,1.388014621,1.596674,1.682393669,1.764963863
NPS-Ref,RUS,RUS,EU,HUN,2.218116132,3.452155768,3.030515192,3.488204392,4.100246235,4.803065532,4.869371218,4.967614524
NPS-Ref,RUS,RUS,EU,IRL,0.97859137,1.014022829,1.089555201,1.38499489,1.442947205,1.528598108,1.596186324,1.603768124
NPS-Ref,RUS,RUS,EU,ITA,19.35224915,17.32326027,17.74298213,23.73299004,25.20568961,27.68325107,30.71495261,32.88238103
NPS-Ref,RUS,RUS,EU,LTU,0.81031304,1.288612446,2.02970529,1.598986496,1.516911578,1.492034375,1.642422066,1.645721956
