,,,,,2015,2020,2025,2030,2035,2040,2045,2050
SDS-Vision,NAM,CAN,SAM,COL,,4.55562E-09,9.26194E-09,9.42286E-09,1.21052E-08,1.56993E-08,1.88065E-08,2.33706E-08
SDS-Vision,NAM,CAN,SAM,TTO,,,4.74561E-09,6.26483E-09,8.09205E-09,1.02134E-08,1.29678E-08,1.59707E-08
SDS-Vision,NAM,CAN,SAM,VEN,,4.46552E-09,8.33503E-09,8.30481E-09,9.47746E-09,1.23841E-08,1.47696E-08,1.67354E-08
SDS-Vision,NAM,CAN,EU,AUT,,2.80217E-08,1.95492E-08,1.37235E-08,1.29255E-08,1.4832E-08,1.44071E-08,1.42753E-08
SDS-Vision,NAM,CAN,EU,BEL,,3.58796E-08,2.44145E-08,1.92285E-08,1.62593E-08,1.91112E-08,1.85364E-08,2.07251E-08
SDS-Vision,NAM,CAN,EU,BGR,,1.20209E-08,1.20084E-08,1.11759E-08,1.32309E-08,1.66158E-08,1.69911E-08,1.76221E-08
SDS-Vision,NAM,CAN,EU,CZE,,3.52204E-08,1.88521E-08,1.38067E-08,1.2659E-08,1.49138E-08,1.41552E-08,1.40592E-08
SDS-Vision,NAM,CAN,EU,DEU,,2.69511E-08,2.15611E-08,1.67669E-08,1.60391E-08,1.7665E-08,1.97491E-08,2.06687E-08
SDS-Vision,NAM,CAN,EU,DNK,,1.36067E-08,1.66356E-08,1.75126E-08,1.68394E-08,1.62473E-08,1.52233E-08,1.48397E-08
SDS-Vision,NAM,CAN,EU,ESP,,2.77339E-07,3.35385E-07,2.9068E-07,1.20093E-07,8.66441E-08,5.55312E-08,5.03175E-08
SDS-Vision,NAM,CAN,EU,EST,,8.13713E-08,7.44452E-08,2.86546E-08,2.41698E-08,2.51549E-08,2.62852E-08,2.63605E-08
SDS-Vision,NAM,CAN,EU,FIN,,1.45315E-07,1.13715E-07,6.46001E-08,4.03703E-08,4.10037E-08,3.4852E-08,3.22922E-08
SDS-Vision,NAM,CAN,EU,FRA,,1.68194E-07,4.91364E-08,2.79109E-08,2.07899E-08,2.46421E-08,2.37665E-08,2.82067E-08
SDS-Vision,NAM,CAN,EU,GBR,,2.26494E-08,1.81569E-08,1.54873E-08,1.42154E-08,1.72209E-08,1.73065E-08,2.06042E-08
SDS-Vision,NAM,CAN,EU,GRC,,2.12728E-08,2.22185E-08,1.91303E-08,1.91775E-08,2.47471E-08,2.44631E-08,2.65629E-08
SDS-Vision,NAM,CAN,EU,HRV,,2.54332E-08,1.86267E-08,1.4732E-08,1.38897E-08,1.70944E-08,1.79001E-08,2.07194E-08
SDS-Vision,NAM,CAN,EU,HUN,,3.54998E-08,1.76899E-08,1.3014E-08,1.24473E-08,1.45874E-08,1.47369E-08,1.55294E-08
SDS-Vision,NAM,CAN,EU,IRL,,4.26955E-08,3.31841E-08,2.42472E-08,2.07328E-08,2.17333E-08,2.24551E-08,2.33906E-08
SDS-Vision,NAM,CAN,EU,ITA,,3.16607E-08,2.50846E-08,1.81897E-08,1.56629E-08,1.80412E-08,1.84366E-08,2.08302E-08
SDS-Vision,NAM,CAN,EU,LTU,,1.41759E-07,7.88754E-08,2.71919E-08,2.08294E-08,2.32787E-08,2.28598E-08,2.54158E-08
SDS-Vision,NAM,CAN,EU,LVA,,7.39941E-08,6.35803E-08,2.66912E-08,2.05176E-08,2.10833E-08,1.98473E-08,1.95985E-08
SDS-Vision,NAM,CAN,EU,NLD,,2.38937E-08,1.90152E-08,1.64913E-08,1.47744E-08,1.78408E-08,1.77233E-08,2.01013E-08
SDS-Vision,NAM,CAN,EU,POL,,4.05113E-08,1.97992E-08,1.35844E-08,1.21075E-08,1.4794E-08,1.54154E-08,1.82842E-08
SDS-Vision,NAM,CAN,EU,PRT,,1.7487E-07,2.87786E-07,2.44375E-07,1.98885E-07,7.73396E-08,4.91341E-08,3.78973E-08
SDS-Vision,NAM,CAN,EU,ROM,,9.50419E-09,9.78152E-09,9.54756E-09,1.13869E-08,1.43596E-08,1.5015E-08,1.58766E-08
SDS-Vision,NAM,CAN,EU,SVK,,2.47024E-08,1.51617E-08,1.20431E-08,1.1595E-08,1.36846E-08,1.39428E-08,1.44593E-08
SDS-Vision,NAM,CAN,EU,SVN,,4.08035E-08,1.9907E-08,1.45986E-08,1.31742E-08,1.44635E-08,1.43486E-08,1.45343E-08
SDS-Vision,NAM,CAN,EU,SWE,,7.78942E-08,1.40972E-07,1.20722E-07,1.06377E-07,1.03255E-07,7.28451E-08,5.59862E-08
SDS-Vision,NAM,CAN,ROE,CHE,,6.65136E-08,4.45408E-08,2.47948E-08,1.78603E-08,1.79963E-08,1.60631E-08,1.53593E-08
